APR DRG Code  APR DRG Description                                                                                                                                                                    
169           MAJOR ABDOMINAL VASCULAR PROCEDURES                                                                                                                                                          4186
170           PERMANENT CARDIAC PACEMAKER IMPLANT WITH AMI, HEART FAILURE OR SHOCK                                                                                                                           72
171           PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT AMI, HEART FAILURE OR SHOCK                                                                                                                      5627
174           PERCUTANEOUS CARDIAC INTERVENTION WITH AMI                                                                                                                                                  12425
175           PERCUTANEOUS CARDIAC INTERVENTION WITHOUT AMI                                                                                                                                               19480
176           INSERTION, REVISION AND REPLACEMENTS OF PACEMAKER AND OTHER CARDIAC DEVICES                                                                                                                   759
177           CARDIAC PACEMAKER AND DEFIBRILLATOR REVISION EXCEPT DEVICE REPLACEMENT                                                                                                                        259
178           EXTERNAL HEART ASSIST SYSTEMS                                                                                                                                                                 448
179           DEFIBRILLATOR IMPLANTS                                                                                                                                                                       2787
180           OTHER CIRCULATORY SYSTEM PROCEDURES                                                                                                                                                          1733
181           LOWER EXTREMITY ARTERIAL PROCEDURES                                                                                                                                                          4355
182           OTHER PERIPHERAL VASCULAR AND RELATED PROCEDURES                                                                                                                                             8056
183           PERCUTANEOUS STRUCTURAL CARDIAC PROCEDURES                                                                                                                                                   7250
190           ACUTE MYOCARDIAL INFARCTION                                                                                                                                                                 13243
191           CARDIAC CATHETERIZATION FOR CORONARY ARTERY DISEASE                                                                                                                                          5130
192           CARDIAC CATHETERIZATION FOR OTHER NON-CORONARY CONDITIONS                                                                                                                                   13424
193           ACUTE AND SUBACUTE ENDOCARDITIS                                                                                                                                                               504
194           HEART FAILURE                                                                                                                                                                               57414
196           CARDIAC ARREST AND SHOCK                                                                                                                                                                     1199
197           PERIPHERAL AND OTHER VASCULAR DISORDERS                                                                                                                                                      9182
198           ANGINA PECTORIS AND CORONARY ATHEROSCLEROSIS                                                                                                                                                 8027
199           HYPERTENSION                                                                                                                                                                                10027
200           CARDIAC STRUCTURAL AND VALVULAR DISORDERS                                                                                                                                                    1498
201           CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS                                                                                                                                                 24396
203           CHEST PAIN                                                                                                                                                                                   6130
204           SYNCOPE AND COLLAPSE                                                                                                                                                                        13512
205           CARDIOMYOPATHY                                                                                                                                                                                472
206           MALFUNCTION, REACTION, COMPLICATION OF CARDIAC OR VASCULAR DEVICE OR PROCEDURE                                                                                                               2993
207           OTHER CIRCULATORY SYSTEM DIAGNOSES                                                                                                                                                           6961
220           MAJOR STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES                                                                                                                                            4337
222           OTHER STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES                                                                                                                                             891
223           OTHER SMALL AND LARGE BOWEL PROCEDURES                                                                                                                                                       1607
224           PERITONEAL ADHESIOLYSIS                                                                                                                                                                      2013
226           ANAL AND PERINEAL PROCEDURES                                                                                                                                                                  893
227           HERNIA PROCEDURES EXCEPT INGUINAL, FEMORAL AND UMBILICAL                                                                                                                                     3795
228           INGUINAL, FEMORAL AND UMBILICAL HERNIA PROCEDURES                                                                                                                                            2197
229           OTHER DIGESTIVE SYSTEM AND ABDOMINAL PROCEDURES                                                                                                                                              2038
230           MAJOR SMALL BOWEL PROCEDURES                                                                                                                                                                 8663
231           MAJOR LARGE BOWEL PROCEDURES                                                                                                                                                                11790
232           GASTRIC FUNDOPLICATION                                                                                                                                                                         94
233           APPENDECTOMY WITH COMPLEX PRINCIPAL DIAGNOSIS                                                                                                                                                2809
234           APPENDECTOMY WITHOUT COMPLEX PRINCIPAL DIAGNOSIS                                                                                                                                             6055
240           DIGESTIVE MALIGNANCY                                                                                                                                                                         6751
241           PEPTIC ULCER AND GASTRITIS                                                                                                                                                                  11671
242           MAJOR ESOPHAGEAL DISORDERS                                                                                                                                                                   1899
243           OTHER ESOPHAGEAL DISORDERS                                                                                                                                                                   4281
244           DIVERTICULITIS AND DIVERTICULOSIS                                                                                                                                                           12888
245           INFLAMMATORY BOWEL DISEASE                                                                                                                                                                   4454
246           GASTROINTESTINAL VASCULAR INSUFFICIENCY                                                                                                                                                      1330
247           INTESTINAL OBSTRUCTION                                                                                                                                                                      11920
248           MAJOR GASTROINTESTINAL AND PERITONEAL INFECTIONS                                                                                                                                             7024
249           OTHER GASTROENTERITIS, NAUSEA AND VOMITING                                                                                                                                                  16213
251           ABDOMINAL PAIN                                                                                                                                                                               2785
252           MALFUNCTION, REACTION AND COMPLICATION OF GASTROINTESTINAL DEVICE OR PROCEDURE                                                                                                               4098
253           OTHER AND UNSPECIFIED GASTROINTESTINAL HEMORRHAGE                                                                                                                                            9612
254           OTHER DIGESTIVE SYSTEM DIAGNOSES                                                                                                                                                            17535
260           MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES                                                                                                                                                   2824
261           MAJOR BILIARY TRACT PROCEDURES                                                                                                                                                                365
263           CHOLECYSTECTOMY                                                                                                                                                                             13605
264           OTHER HEPATOBILIARY, PANCREAS AND ABDOMINAL PROCEDURES                                                                                                                                       1074
279           HEPATIC COMA AND OTHER MAJOR ACUTE LIVER DISORDERS                                                                                                                                           3430
280           ALCOHOLIC LIVER DISEASE                                                                                                                                                                      6909
281           MALIGNANCY OF HEPATOBILIARY SYSTEM AND PANCREAS                                                                                                                                              4889
282           DISORDERS OF PANCREAS EXCEPT MALIGNANCY                                                                                                                                                     12413
283           OTHER DISORDERS OF THE LIVER                                                                                                                                                                 4548
284           DISORDERS OF GALLBLADDER AND BILIARY TRACT                                                                                                                                                   9232
303           DORSAL AND LUMBAR FUSION PROCEDURE FOR CURVATURE OF BACK                                                                                                                                     1439
304           DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK                                                                                                                             12368
305           AMPUTATION OF LOWER LIMB EXCEPT TOES                                                                                                                                                         4046
308           HIP AND FEMUR FRACTURE REPAIR                                                                                                                                                               12651
309           OTHER SIGNIFICANT HIP AND FEMUR SURGERY                                                                                                                                                      2015
310           VERTEBRAL AND INTERVERTEBRAL SPINAL PROCEDURES INCLUDING DISC PROCEDURES                                                                                                                     3673
312           SKIN GRAFT, EXCEPT HAND, FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DIAGNOSES                                                                                                                  674
313           KNEE AND LOWER LEG PROCEDURES EXCEPT FOOT                                                                                                                                                    8410
314           FOOT AND TOE PROCEDURES                                                                                                                                                                      4211
315           SHOULDER, UPPER ARM AND FOREARM PROCEDURES EXCEPT JOINT REPLACEMENT                                                                                                                          4036
316           HAND AND WRIST PROCEDURES                                                                                                                                                                    1193
317           TENDON, MUSCLE AND OTHER SOFT TISSUE PROCEDURES                                                                                                                                              2499
320           OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE PROCEDURES                                                                                                                                2798
321           SPINAL FUSION AND OTHER BACK AND NECK PROCEDURES EXCEPT FOR DISC PROCEDURES                                                                                                                  7933
322           SHOULDER AND ELBOW JOINT REPLACEMENT                                                                                                                                                         2603
323           NON-ELECTIVE OR COMPLEX HIP JOINT REPLACEMENT                                                                                                                                                7864
324           ELECTIVE HIP JOINT REPLACEMENT                                                                                                                                                              11632
325           NON-ELECTIVE OR COMPLEX KNEE JOINT REPLACEMENT                                                                                                                                               2697
326           ELECTIVE KNEE JOINT REPLACEMENT                                                                                                                                                             18435
340           FRACTURE OF FEMUR                                                                                                                                                                            1933
341           FRACTURE OF PELVIS OR DISLOCATION OF HIP                                                                                                                                                     2094
342           FRACTURES AND DISLOCATIONS EXCEPT FEMUR, PELVIS AND BACK                                                                                                                                     5755
343           MUSCULOSKELETAL MALIGNANCY AND PATHOLOGICAL FRACTURE DUE TO MUSCULOSKELETAL MALIGNANCY                                                                                                       2551
344           OSTEOMYELITIS, SEPTIC ARTHRITIS AND OTHER MUSCULOSKELETAL INFECTIONS                                                                                                                         5163
346           CONNECTIVE TISSUE DISORDERS                                                                                                                                                                  3085
347           OTHER BACK AND NECK DISORDERS, FRACTURES AND INJURIES                                                                                                                                       13521
349           MALFUNCTION, REACTION, COMPLICATION OF ORTHOPEDIC DEVICE OR PROCEDURE                                                                                                                        2042
351           OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES                                                                                                                                13640
361           SKIN GRAFT FOR SKIN AND SUBCUTANEOUS TISSUE DIAGNOSES                                                                                                                                         963
362           MASTECTOMY PROCEDURES                                                                                                                                                                        2633
363           BREAST PROCEDURES EXCEPT MASTECTOMY                                                                                                                                                           979
364           OTHER SKIN, SUBCUTANEOUS TISSUE AND RELATED PROCEDURES                                                                                                                                       4486
380           SKIN ULCERS                                                                                                                                                                                  4121
381           MAJOR SKIN DISORDERS                                                                                                                                                                          697
382           MALIGNANT BREAST DISORDERS                                                                                                                                                                    721
383           CELLULITIS AND OTHER SKIN INFECTIONS                                                                                                                                                        21688
384           CONTUSION, OPEN WOUND AND OTHER TRAUMA TO SKIN AND SUBCUTANEOUS TISSUE                                                                                                                       2933
385           OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST DISORDERS                                                                                                                                         2819
401           ADRENAL PROCEDURES                                                                                                                                                                            549
403           PROCEDURES FOR OBESITY                                                                                                                                                                      21359
404           THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES                                                                                                                                             1640
405           OTHER PROCEDURES FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS                                                                                                                           467
420           DIABETES                                                                                                                                                                                    21017
421           MALNUTRITION, FAILURE TO THRIVE AND OTHER NUTRITIONAL DISORDERS                                                                                                                              4314
422           HYPOVOLEMIA AND RELATED ELECTROLYTE DISORDERS                                                                                                                                                6661
423           INBORN ERRORS OF METABOLISM                                                                                                                                                                   596
424           OTHER ENDOCRINE DISORDERS                                                                                                                                                                    1813
425           OTHER NON-HYPOVOLEMIC ELECTROLYTE DISORDERS                                                                                                                                                  8260
426           NON-HYPOVOLEMIC SODIUM DISORDERS                                                                                                                                                            10209
427           THYROID DISORDERS                                                                                                                                                                            1288
440           KIDNEY TRANSPLANT                                                                                                                                                                            1803
441           MAJOR BLADDER PROCEDURES                                                                                                                                                                      916
442           KIDNEY AND URINARY TRACT PROCEDURES FOR MALIGNANCY                                                                                                                                           2711
443           KIDNEY AND URINARY TRACT PROCEDURES FOR NON-MALIGNANCY                                                                                                                                       3383
444           RENAL DIALYSIS ACCESS DEVICE PROCEDURES                                                                                                                                                       957
445           OTHER BLADDER PROCEDURES                                                                                                                                                                      651
446           URETHRAL AND TRANSURETHRAL PROCEDURES                                                                                                                                                        2948
447           OTHER KIDNEY, URINARY TRACT AND RELATED PROCEDURES                                                                                                                                            508
461           KIDNEY AND URINARY TRACT MALIGNANCY                                                                                                                                                          1004
462           NEPHRITIS AND NEPHROSIS                                                                                                                                                                       667
463           KIDNEY AND URINARY TRACT INFECTIONS                                                                                                                                                         26892
465           URINARY STONES AND ACQUIRED UPPER URINARY TRACT OBSTRUCTION                                                                                                                                  5021
466           MALFUNCTION, REACTION, COMPLICATION OF GENITOURINARY DEVICE OR PROCEDURE                                                                                                                    13673
468           OTHER KIDNEY AND URINARY TRACT DIAGNOSES, SIGNS AND SYMPTOMS                                                                                                                                 3259
469           ACUTE KIDNEY INJURY                                                                                                                                                                         24057
470           CHRONIC KIDNEY DISEASE                                                                                                                                                                       3879
480           MAJOR MALE PELVIC PROCEDURES                                                                                                                                                                 1733
482           TRANSURETHRAL PROSTATECTOMY                                                                                                                                                                  1521
483           PENIS, TESTES AND SCROTAL PROCEDURES                                                                                                                                                          943
484           OTHER MALE REPRODUCTIVE SYSTEM AND RELATED PROCEDURES                                                                                                                                        1367
500           MALIGNANCY, MALE REPRODUCTIVE SYSTEM                                                                                                                                                          554
501           MALE REPRODUCTIVE SYSTEM DIAGNOSES EXCEPT MALIGNANCY                                                                                                                                         2254
510           PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND OTHER RADICAL GYNECOLOGICAL PROCEDURES                                                                                                          272
511           UTERINE AND ADNEXA PROCEDURES FOR OVARIAN AND ADNEXAL MALIGNANCY                                                                                                                             1001
512           UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY                                                                                                                     1049
513           UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY EXCEPT LEIOMYOMA                                                                                                                            3792
514           FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES                                                                                                                                          248
517           DILATION AND CURETTAGE FOR NON-OBSTETRIC DIAGNOSES                                                                                                                                            446
518           OTHER FEMALE REPRODUCTIVE SYSTEM AND RELATED PROCEDURES                                                                                                                                       717
519           UTERINE AND ADNEXA PROCEDURES FOR LEIOMYOMA                                                                                                                                                  5086
530           FEMALE REPRODUCTIVE SYSTEM MALIGNANCY                                                                                                                                                        1369
531           FEMALE REPRODUCTIVE SYSTEM INFECTIONS                                                                                                                                                        1194
532           MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS                                                                                                                                     1635
539           CESAREAN SECTION WITH STERILIZATION                                                                                                                                                          7667
540           CESAREAN SECTION WITHOUT STERILIZATION                                                                                                                                                      60157
541           VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C                                                                                                                                               1086
542           VAGINAL DELIVERY WITH O.R. PROCEDURE EXCEPT STERILIZATION AND/OR D&C                                                                                                                         4585
543           ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY                                                                                                                                        915
547           ANTEPARTUM WITH O.R. PROCEDURE                                                                                                                                                               2245
548           POSTPARTUM AND POST ABORTION DIAGNOSIS WITH O.R. PROCEDURE                                                                                                                                    765
560           VAGINAL DELIVERY                                                                                                                                                                           124484
561           POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT PROCEDURE                                                                                                                                     4918
564           ABORTION WITHOUT D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY                                                                                                                                     784
566           ANTEPARTUM WITHOUT O.R. PROCEDURE                                                                                                                                                           12908
580           NEONATE, TRANSFERRED < 5 DAYS OLD, NOT BORN HERE                                                                                                                                               39
581           NEONATE, TRANSFERRED < 5 DAYS OLD, BORN HERE                                                                                                                                                 1446
583           NEONATE WITH ECMO                                                                                                                                                                              35
588           NEONATE BIRTH WEIGHT < 1500 GRAMS WITH MAJOR PROCEDURE                                                                                                                                        148
589           NEONATE BIRTH WEIGHT < 500 GRAMS, OR BIRTH WEIGHT 500-999 GRAMS AND GESTATIONAL AGE <24 WEEKS, OR BIRTH WEIGHT 500-749 GRAMS WITH MAJOR ANOMALY OR WITHOUT LIFE SUSTAINING INTERVENTION       227
591           NEONATE BIRTH WEIGHT 500-749 GRAMS WITHOUT MAJOR PROCEDURE                                                                                                                                    260
593           NEONATE BIRTH WEIGHT 750-999 GRAMS WITHOUT MAJOR PROCEDURE                                                                                                                                    450
602           NEONATE BIRTH WEIGHT 1000-1249 GRAMS WITH RESPIRATORY DISTRESS SYNDROME OR OTHER MAJOR RESPIRATORY CONDITION OR MAJOR ANOMALY                                                                 515
603           NEONATE BIRTH WEIGHT 1000-1249 GRAMS WITH OR WITHOUT SIGNIFICANT CONDITION                                                                                                                     51
607           NEONATE BIRTH WEIGHT 1250-1499 GRAMS WITH RESPIRATORY DISTRESS SYNDROME OR OTHER MAJOR RESPIRATORY CONDITION OR MAJOR ANOMALY                                                                 677
608           NEONATE BIRTH WEIGHT 1250-1499 GRAMS WITH OR WITHOUT SIGNIFICANT CONDITION                                                                                                                    153
609           NEONATE BIRTH WEIGHT 1500-2499 GRAMS WITH MAJOR PROCEDURE                                                                                                                                     121
611           NEONATE BIRTH WEIGHT 1500-1999 GRAMS WITH MAJOR ANOMALY                                                                                                                                       399
612           NEONATE BIRTH WEIGHT 1500-1999 GRAMS WITH RESPIRATORY DISTRESS SYNDROME OR OTHER MAJOR RESPIRATORY CONDITION                                                                                 1251
613           NEONATE BIRTH WEIGHT 1500-1999 GRAMS WITH CONGENITAL OR PERINATAL INFECTION                                                                                                                    42
614           NEONATE BIRTH WEIGHT 1500-1999 GRAMS WITH OR WITHOUT OTHER SIGNIFICANT CONDITION                                                                                                             1535
621           NEONATE BIRTH WEIGHT 2000-2499 GRAMS WITH MAJOR ANOMALY                                                                                                                                       681
622           NEONATE BIRTH WEIGHT 2000-2499 GRAMS WITH RESPIRATORY DISTRESS SYNDROME OR OTHER MAJOR RESPIRATORY CONDITION                                                                                 1420
623           NEONATE BIRTH WEIGHT 2000-2499 GRAMS WITH CONGENITAL OR PERINATAL INFECTION                                                                                                                    96
625           NEONATE BIRTH WEIGHT 2000-2499 GRAMS WITH OTHER SIGNIFICANT CONDITION                                                                                                                        1126
626           NEONATE BIRTH WEIGHT 2000-2499 GRAMS, NORMAL NEWBORN OR NEONATE WITH OTHER PROBLEM                                                                                                           8053
630           NEONATE BIRTH WEIGHT > 2499 GRAMS WITH MAJOR CARDIOVASCULAR PROCEDURE                                                                                                                         149
631           NEONATE BIRTH WEIGHT > 2499 GRAMS WITH OTHER MAJOR PROCEDURE                                                                                                                                  216
633           NEONATE BIRTH WEIGHT > 2499 GRAMS WITH MAJOR ANOMALY                                                                                                                                         3443
634           NEONATE BIRTH WEIGHT > 2499 GRAMS WITH RESPIRATORY DISTRESS SYNDROME OR OTHER MAJOR RESPIRATORY CONDITION                                                                                    3864
636           NEONATE BIRTH WEIGHT > 2499 GRAMS WITH CONGENITAL OR PERINATAL INFECTION                                                                                                                      699
639           NEONATE BIRTH WEIGHT > 2499 GRAMS WITH OTHER SIGNIFICANT CONDITION                                                                                                                           4376
640           NEONATE BIRTH WEIGHT > 2499 GRAMS, NORMAL NEWBORN OR NEONATE WITH OTHER PROBLEM                                                                                                            172392
650           SPLENECTOMY                                                                                                                                                                                   168
651           OTHER PROCEDURES OF BLOOD AND BLOOD-FORMING ORGANS                                                                                                                                            264
660           MAJOR HEMATOLOGIC OR IMMUNOLOGIC DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION                                                                                                         5164
661           COAGULATION AND PLATELET DISORDERS                                                                                                                                                           3200
662           SICKLE CELL ANEMIA CRISIS                                                                                                                                                                    7182
663           OTHER ANEMIA AND DISORDERS OF BLOOD AND BLOOD-FORMING ORGANS                                                                                                                                12232
680           MAJOR O.R. PROCEDURES FOR LYMPHATIC, HEMATOPOIETIC OR OTHER NEOPLASMS                                                                                                                        1472
681           OTHER O.R. PROCEDURES FOR LYMPHATIC, HEMATOPOIETIC OR OTHER NEOPLASMS                                                                                                                        1612
690           ACUTE LEUKEMIA                                                                                                                                                                               1783
691           LYMPHOMA, MYELOMA AND NON-ACUTE LEUKEMIA                                                                                                                                                     4101
692           RADIOTHERAPY                                                                                                                                                                                  161
694           LYMPHATIC AND OTHER MALIGNANCIES AND NEOPLASMS OF UNCERTAIN BEHAVIOR                                                                                                                         2488
695           CHEMOTHERAPY FOR ACUTE LEUKEMIA                                                                                                                                                              1769
696           OTHER CHEMOTHERAPY                                                                                                                                                                           5740
710           INFECTIOUS AND PARASITIC DISEASES INCLUDING HIV WITH O.R. PROCEDURE                                                                                                                         14729
711           POST-OPERATIVE, POST-TRAUMA, OTHER DEVICE INFECTIONS WITH O.R. PROCEDURE                                                                                                                     3596
720           SEPTICEMIA AND DISSEMINATED INFECTIONS                                                                                                                                                     123521
721           POST-OPERATIVE, POST-TRAUMATIC, OTHER DEVICE INFECTIONS                                                                                                                                      7112
722           FEVER AND INFLAMMATORY CONDITIONS                                                                                                                                                            1891
723           VIRAL ILLNESS                                                                                                                                                                                3414
724           OTHER INFECTIOUS AND PARASITIC DISEASES                                                                                                                                                      3145
740           MENTAL ILLNESS DIAGNOSIS WITH O.R. PROCEDURE                                                                                                                                                  898
750           SCHIZOPHRENIA                                                                                                                                                                               28747
751           MAJOR DEPRESSIVE DISORDERS AND OTHER OR UNSPECIFIED PSYCHOSES                                                                                                                               19016
752           DISORDERS OF PERSONALITY AND IMPULSE CONTROL                                                                                                                                                 1256
753           BIPOLAR DISORDERS                                                                                                                                                                           18838
754           DEPRESSION EXCEPT MAJOR DEPRESSIVE DISORDER                                                                                                                                                  8811
755           ADJUSTMENT DISORDERS AND NEUROSES EXCEPT DEPRESSIVE DIAGNOSES                                                                                                                                2860
756           ACUTE ANXIETY AND DELIRIUM STATES                                                                                                                                                            3073
757           ORGANIC MENTAL HEALTH DISTURBANCES                                                                                                                                                            905
758           BEHAVIORAL DISORDERS                                                                                                                                                                         1224
759           EATING DISORDERS                                                                                                                                                                              611
760           OTHER MENTAL HEALTH DISORDERS                                                                                                                                                                1084
770           DRUG AND ALCOHOL ABUSE OR DEPENDENCE, LEFT AGAINST MEDICAL ADVICE                                                                                                                           11775
772           ALCOHOL AND DRUG DEPENDENCE WITH REHABILITATION AND/OR DETOXIFICATION THERAPY                                                                                                               11078
773           OPIOID ABUSE AND DEPENDENCE                                                                                                                                                                  8059
774           COCAINE ABUSE AND DEPENDENCE                                                                                                                                                                 4527
775           ALCOHOL ABUSE AND DEPENDENCE                                                                                                                                                                19979
776           OTHER DRUG ABUSE AND DEPENDENCE                                                                                                                                                              2179
